Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
1805,"""WATER QUALITY OF TRIBUTARY STREAMS- RANICHU AND RORACHU""","""AFTER CONFLUENCE OF RANICHU AND RORACHU AT RANIPOOL- SIKKIM""","""SIKKIM""",NA,NA,NA,18,28,22.4,6,6.8,6.4,250,300,277,3,4.3,3.6,2,3,2.54,33,90,48,90,15000,5243,NA,NA,NA
1806,"""WATER QUALITY OF TRIBUTARY STREAMS- RANICHU""","""RANICHU BEFORE CONFLUENCEWITH RIVER TEESTA AT SINGTAM""","""SIKKIM""",NA,NA,NA,16,25,20.9,6,6.5,6.2,240,300,283,3.2,4.5,3.8,2,3,2.53,30,110,52,80,1500,1100,NA,NA,NA
2229,"""WATER QUALITY OF TRIBUTARY STREAMS- KUNDLI""","""KUNDLI AT KUNDLI/ SAPAKHOWA- SADIA.""","""ASSAM""",15,27,22,6.1,8.8,7.4,7.3,7.3,7.5,91,237,144,0.7,1.8,1.3,0.1,0.19,0.14,NA,NA,NA,300,130,79,NA,NA,NA
2231,"""WATER QUALITY OF TRIBUTARY STREAMS- DIKHOW""","""DIKHOW AT DIKHOW BDGSIVASAGAR""","""ASSAM""",20,27,23.5,4.5,7.2,7.2,6.8,7.5,7.2,90,228,150,0.4,2.1,1.6,0.1,0.3,0.15,0,360,90,1,130,251,NA,NA,NA
2232,"""WATER QUALITY OF TRIBUTARY STREAMS- KOHORA""","""KOHORA AT N.H. CROSSING- KOHORA""","""ASSAM""",18,36,29,5.9,7.5,6.7,6.8,7.3,7.1,51,115,76,0.7,3.4,1.8,0.1,0.17,0.12,0,360,90,270,300,258,NA,NA,NA
2233,"""WATER QUALITY OF TRIBUTARY STREAMS- BOGINADI""","""BOGINADI NR BDG NH-52-LAKHIMPUR""","""ASSAM""",17,25,22.3,8.1,8.7,8.5,6.6,7.5,7.1,94,143,128,2.5,3.3,2.8,0.1,0.1,0.1,0,300,75,0,900,404,NA,NA,NA
2234,"""WATER QUALITY OF TRIBUTARY STREAMS- RANGA""","""RANGA NADI DOWNSTREAM OF HYDEL PROJECT""","""ASSAM""",20,26,23.5,7.7,8.5,8.3,6.6,7.4,7.1,85,150,116,1,5.2,3,0.1,0.12,0.11,0,360,90,0,390000,116167,NA,NA,NA
2236,"""WATER QUALITY OF TRIBUTARY STREAMS- KAPILI""","""KAPILI AT DHARMTUL BRIDGE- NH-31- NAGAON""","""ASSAM""",26,28,27,6.3,9,7.3,6.4,6.5,6.5,74,92,85,1.2,2,1.5,0.1,0.11,0.1,0,910,455,1,140,91,NA,NA,NA
2238,"""WATER QUALITY OF TRIBUTARY STREAMS- BEKI""","""BEKI AT NH-37 CROSSING AT BARPETA ROAD""","""ASSAM""",18,31,24.5,6.4,7.8,7.1,6.3,7.6,6.8,133,159,145,0.8,5.2,3.2,0.1,0.13,0.11,0,360,90,0,170,114,NA,NA,NA
2239,"""WATER QUALITY OF TRIBUTARY STREAMS- SANKOSH""","""SANKOSH- DHUBRI""","""ASSAM""",22,31,27.5,6.4,7.1,6.9,7,7.9,7.4,67,126,98,0.4,1.2,0.7,0.1,0.16,0.14,0,910,228,0,170,132,NA,NA,NA
2240,"""WATER QUALITY OF TRIBUTARY STREAMS- BARAK""","""BARAK AT DOWNSTREAM OF SILCHAR""","""ASSAM""",9,15.3,12.6,7,7.2,7.1,6.7,7.5,7.2,100,184,145,2,4,2.8,0.1,0.19,0.14,0,360,220,720,280,172,NA,NA,NA
2241,"""WATER QUALITY OF TRIBUTARY STREAMS- SONAI""","""SONAI AT SONAI""","""ASSAM""",8.5,27.5,15.8,6.5,7.9,7.3,6.9,7.5,7.2,33,171,94,0.7,6,3.8,0.1,0.13,0.11,0,910,303,0,240,190,NA,NA,NA
2242,"""WATER QUALITY OF TRIBUTARY STREAMS- KUSHIARA""","""KUSHIARA AT KARIMGANJ""","""ASSAM""",8.5,15,12.5,7,7.3,7.1,6.7,7.6,7.2,70,153,123,0.7,2.5,1.6,0.1,0.18,0.13,0,360,120,300,910,453,NA,NA,NA
2523,"""WATER QUALITY OF TRIBUTARY STREAMS- KAROLA""","""KAROLA- DOWNSTREAM OF JALPAIGURI- NEAR MIN BHAWAN""","""WEST BENGAL""",19,33,26.4,6.1,9.9,7.7,6.6,7.3,7,8,106,79,1.1,6.1,2.9,0.02,0.42,0.19,7000,260000,92818,11000,2800,1003,NA,NA,NA
2524,"""WATER QUALITY OF TRIBUTARY STREAMS- KALJANI""","""KALJANI DOWNSTREAM OF ALIPURDWAR-MUNICIPALITY DISCHARGE POINT""","""WEST BENGAL""",19,32,26.1,6.3,8.6,7.4,6.6,7.6,7.2,125,182,139,0.8,4.7,2.7,0.03,0.36,0.19,8000,260000,72200,17000,4300,1493,NA,NA,NA
2235,"""WATER QUALITY OF TRIBUTARY STREAMS- PANCHNAI""","""PANCHNAI AT NH-52 CROSSING- ORANG""","""ASSAM""",18,24,21.5,8.2,8.6,8.4,6.7,8.2,7.5,94,134,110,0.5,5.3,2,0.1,0.13,0.11,0,2300,575,0,730,273,NA,NA,NA
1232,""" WATER QUALITY OF RIVER MAHI""","""MAHI (DOWNSTREAM) CONF WITH R. CHAP(UNDER SAGWARA-SARHI RD. BDG.)""","""RAJASTHAN""",21,36.5,28.4,3.2,8.4,5.4,8.1,9.1,8.5,390,1310,581,0.6,2.1,1,0.08,1.7,0.85,3,7,4,7,730,273,NA,NA,NA
1863,""" WATER QUALITY OF RIVER MAHI""","""MAHI AT UMETA BRIDGE""","""GUJARAT""",25,25,25,7.8,7.8,7.8,8.3,8.3,8.3,517,517,517,1,1,1,0.36,0.36,0.36,4,4,4,21,2300,1001,NA,NA,NA
1864,""" WATER QUALITY OF RIVER MAHI""","""MAHI AT MUJPUR""","""GUJARAT""",18,28,23.2,7.2,8,7.8,7.6,8.5,7.8,387,878,578,2,3.1,2.5,0.22,0.4,0.34,3,4,4,11,910,485,NA,NA,NA
4,""" WATER QUALITY OF RIVER MAHI""","""MAHI AT SEVALIA""","""GUJARAT""",25,28,26.6,6.9,8.3,7.6,7.4,8.7,8.1,291,490,418,0.9,5,3.3,0,0.92,0.22,2,6,3,7,916,230,NA,NA,NA
5,""" WATER QUALITY OF RIVER MAHI""","""MAHI AT VASAD""","""GUJARAT""",25,25,25,8.8,8.8,8.8,8.3,8.3,8.3,561,561,561,2,2,2,0.38,0.38,0.38,3,3,3,9,2000,1373,NA,NA,NA
1229,""" WATER QUALITY OF RIVER MAHI""","""MAHI NEAR RAJASTHAN BORDER ATKADANA DAM""","""GUJARAT""",25,28,27.1,7.1,8.9,7.7,7.4,8.6,8.3,274,404,354,1.7,5,3.4,0,0.86,0.14,2,7,4,7,2300,887,NA,NA,NA
1230,""" WATER QUALITY OF RIVER MAHI""","""MAHI AFTER CONF. WITH ANAS AT PARDI (BANASWADA)""","""GUJARAT""",24,30,27.5,7,8.2,7.7,7.3,8.7,8.3,256,415,348,1.1,8,3.2,0,0.18,0.05,2,9,4,7,910,503,NA,NA,NA
2102,"""WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-SHIVNA""","""SHIVNA AT RAMGHAT- MANDSAUR""","""MADHYA PRADESH""",20,32,26.6,7.2,7.5,7.3,7.2,8.6,7.6,306,550,423,1.4,4,2.5,0.03,2.18,0.93,NA,NA,NA,NA,2200000,11000,NA,NA,NA
2103,"""WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-JAMMER""","""JAMMER AT DHOLOWAD- RATLAM""","""MADHYA PRADESH""",25,32,28.7,5.4,7.6,7.1,7.2,8.1,7.6,112,440,312,1,3,2,0,1.8,0.72,NA,NA,NA,NA,320000,102100,NA,NA,NA
2104,"""WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-MALEI""","""MALEI AT JAORA""","""MADHYA PRADESH""",25,29,26.8,6.8,7.5,7.2,7.1,8.5,7.6,114,520,364,0.6,1.2,0.9,0,2.46,1.48,NA,NA,NA,NA,4300,1525,NA,NA,NA
2105,"""WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-CHILLAR""","""CHILLAR AT SHAJAPUR""","""MADHYA PRADESH""",24,30,27.4,6.4,7.5,7.1,7,7.8,7.5,302,490,426,1,3,2.1,0.04,4.56,0.99,NA,NA,NA,NA,28,16,NA,NA,NA
1228,"""WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-ANAS""","""ANAS AT DAHOD-(KUSHALGARH)-PANCHMAHAL""","""GUJARAT""",26,28,27,6.9,7,7,8.4,8.6,8.5,433,903,668,5,5,5,0.09,0.26,0.17,4,4,4,17,21,21,NA,NA,NA
1227,"""WATER QUALITY OF TRIBUTARY STREAMS OF MAHI-PANAM""","""PANAM AT LUNAWADA""","""GUJARAT""",26,28,27,3,8,5.5,8.5,8.6,8.6,376,406,391,3,5,4,0,0.06,0.03,2,7,5,8,14,13,NA,NA,NA
1482,""" WATER QUALITY OF RIVER SABARMATI""","""SABARMATI AT MAHUDI JAIN TEMPLE, 150 KM. FROM ORIGIN""","""GUJARAT""",22,22,22,7.1,7.1,7.1,8.1,8.1,8.1,506,506,506,4,4,4,0.47,0.47,0.47,90,90,90,430,17,9,NA,NA,NA
1222,"""WATER QUALITY OF TRIBUTARY STREAMS OF SABARMATI-SHEDHI""","""SHEDHI AT KHEDA""","""GUJARAT""",28,28,28,7.4,7.9,7.7,8.3,8.5,8.4,2060,3830,2945,2.9,32,17.5,0.18,0.36,0.27,6,7,7,20,9,9,NA,NA,NA
1241,"""WATER QUALITY OF RIVER NARMADA ""","""NARMADA AT MANDLA NR RD BDG""","""MADHYA PRADESH""",20,32,25.5,7.4,8.2,7.8,7.2,7.8,7.4,293,618,464,1.4,2.6,1.9,0.5,1.7,0.85,0,7,1,28,21,14,NA,NA,NA
44,"""WATER QUALITY OF RIVER NARMADA ""","""NARMADA AT SETHANIGHAT""","""MADHYA PRADESH""",37,38,37.5,6.8,9.2,8.3,7.7,8.5,8.1,235,340,284,1.3,2.5,2,0.66,1.77,1.06,6,17,10,20,23,14,NA,NA,NA
1240,"""WATER QUALITY OF RIVER NARMADA ""","""NARMADA AT NARSINGHPUR""","""MADHYA PRADESH""",20,31,24,7.4,8.4,8,7.2,7.8,7.6,524,618,593,1.3,1.4,1.4,1,1.6,1.3,NA,NA,NA,11,NA,NA,NA,NA,NA
1234,"""WATER QUALITY OF RIVER NARMADA ""","""NARMADA AT HOSHANGABAD UPSTREAM""","""MADHYA PRADESH""",37,37,37,7.4,9.9,8.6,7.9,8.2,8,250,260,255,0.9,1.8,1.3,0.57,1.37,0.98,4,4,4,18,NA,NA,NA,NA,NA
2123,"""WATER QUALITY OF RIVER NARMADA ""","""NARMADA AT KORIGHAT""","""MADHYA PRADESH""",37,37,37,7.1,8.8,7.9,7.6,8.5,8,236,300,269,1.2,2.1,1.8,0,1.4,0.9,6,11,8,140,NA,NA,NA,NA,NA
1235,"""WATER QUALITY OF RIVER NARMADA ""","""NARMADA AT HOSHANGABAD DOWNSTREAM""","""MADHYA PRADESH""",36,38,37,6.6,8.7,8,7.8,8.6,8.2,239,370,299,1.1,2.9,2.1,0,1.77,1.03,2,8,6,27,NA,NA,NA,NA,NA
2106,"""WATER QUALITY OF RIVER NARMADA ""","""RIVER NARMADA AT NEMAWAR""","""MADHYA PRADESH""",18,32,25.2,6.2,7.6,7,7.1,8.4,7.5,221,470,336,0.8,3,1.8,0.06,0.96,0.48,NA,NA,NA,NA,17,17,NA,NA,NA
2099,"""WATER QUALITY OF RIVER NARMADA ""","""NARMADA AT LALPUR, JABALPUR""","""MADHYA PRADESH""",14.7,35,23.4,7.2,8.1,7.6,7.2,7.8,7.5,217,651,355,0.8,2.8,1.6,0,1.7,0.75,NA,NA,NA,4,21,15,NA,NA,NA
1245,"""WATER QUALITY OF RIVER NARMADA ""","""NARMADA AT CHANDOD""","""GUJARAT""",25,29,26.4,6.9,8.2,7.6,7.1,8.4,7.9,222,404,274,1.1,5,2.3,0.07,0.34,0.18,0.6,14,5,4,430,430,NA,NA,NA
2100,"""WATER QUALITY OF TRIBUTARY STREAMS OF NARMADA-GOUR""","""GOUR AT BHOGA DOOR, JABALPUR""","""MADHYA PRADESH""",13.4,33,22.4,3.8,8.1,7.2,7.2,8.3,7.6,312,810,482,1.4,3.8,2.4,0.09,2,0.73,0,28,2,4,40,30,NA,NA,NA
2101,"""WATER QUALITY OF TRIBUTARY STREAMS OF NARMADA-KATNI""","""KATNI RIVER NEAR NAGAR NIGAM""","""MADHYA PRADESH""",10.4,32,21.4,7.4,8.2,7.8,7.2,7.9,7.5,296,729,536,1.1,2.4,1.7,0,1.88,0.97,NA,NA,NA,25,240,87,NA,NA,NA
1313,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT AJNAND VILLAGE""","""MAHARASHTRA""",27,41.5,34.4,4.9,6.9,6.1,7.1,8.7,7.7,172,992,536,2.6,8,5.3,0.25,4.33,2.42,9,26,16,22,1600,732,NA,NA,NA
1251,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT BHUSAWAL US""","""MAHARASHTRA""",24,40,32,3.9,7,5.7,7,8.3,7.5,173,993,604,2.4,9,5.7,0.36,4.14,2.5,13,26,17,30,64,38,NA,NA,NA
1314,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT UPHAD VILLAGE""","""MAHARASHTRA""",27,40,31.4,5.1,7.1,6.2,7.2,8.7,7.6,175,952,573,2.2,10,4.7,0.3,5.82,3.14,13,26,19,27,1600,576,NA,NA,NA
46,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT UKAI, SHERULA BRIDGE""","""GUJARAT""",26,29,27.5,6.2,7.3,7,7.5,8,7.7,339,384,352,1.2,1.8,1.5,0,0.2,0.1,230,7500,2215,430,1600,613,NA,NA,NA
1247,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT MANDAVI""","""GUJARAT""",27,28,27.7,7.2,7.6,7.4,7.8,8.1,8,318,390,359,1.5,2.5,1.9,0.02,0.32,0.22,230,900,677,930,1600,631,NA,NA,NA
47,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT KATHORE, (NH-8 BRIDGE)""","""GUJARAT""",26,29,27.5,7,7.4,7.2,7.2,8,7.7,495,563,535,1.7,2.1,2,0.3,0.4,0.3,33,900,566,930,NA,NA,NA,NA,NA
1248,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT SURAT UPSTREAM KATHORE""","""GUJARAT""",26,29,27.5,6.9,7.3,7.1,7.8,8.1,8,472,585,525,1.5,2.2,1.9,0.2,0.3,0.3,900,1500,1058,2100,460,100,NA,NA,NA
1982,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT RANDER BRIDGE, SURAT""","""GUJARAT""",27,27,27,6.8,7.1,7,7.8,7.9,7.9,621,697,659,1.2,2.6,1.9,0.09,0.45,0.27,900,1500,1200,2000,34,16,NA,NA,NA
1983,"""WATER QUALITY OF RIVER- TAPI""","""TAPI NR BARDOLI (KAPP BRIDGE)""","""GUJARAT""",27,31,29,5.5,6.7,6.1,7.8,7.9,7.9,339,364,352,2.1,2.7,2.4,0.17,0.28,0.23,400,4300,2350,2300,460,111,NA,NA,NA
2071,"""WATER QUALITY OF RIVER- TAPI""","""TAPI AT ONGC BRIDGE AT SURAT""","""GUJARAT""",26,28,27.5,3.2,5.6,4.4,7.1,7.9,7.5,2417,41836,25418,2.5,9,4.9,0.1,0.4,0.2,430,9000,2815,1500,240,82,NA,NA,NA
1253,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- GIRNA""","""GIRNA AT MALEGAON (MANMAD)""","""MAHARASHTRA""",24,28,25.8,4.8,6.8,5.7,7.3,8.1,7.7,199,698,417,2.4,7,4.3,0,2.77,1.74,7,26,17,20,84,41,NA,NA,NA
1252,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- GIRNA""","""GIRNA AT JALGAON""","""MAHARASHTRA""",24,39,32,5.1,7.3,6,7.2,8.8,7.7,155,1043,664,2.2,10,5.4,0.3,4.6,2.51,11,27,18,26,90,54,NA,NA,NA
2070,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- KIM""","""KIM AT SAHOL BRIDGE, OLPADHANSOT ROAD, DIST. SURAT""","""GUJARAT""",26,30,27.8,4.3,6.7,5.7,7.7,8.1,7.9,698,1190,830,1.8,3.4,2.6,0.1,0.5,0.3,900,4300,2250,4300,60,50,NA,NA,NA
1907,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- RANGAVALI""","""RANGAVALI DOWNSTREAM OF NAVAPUR""","""MAHARASHTRA""",26.5,39,30.7,4,7.2,5.8,7.2,8.1,7.7,168,855,487,2,8,5.2,0.5,5.87,2.75,11,26,19,33,10000,3170,NA,NA,NA
2127,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- DENWA""","""DENWA NEAR SARNI, ROAD BRIDGE""","""MADHYA PRADESH""",36,38,37.3,5.3,8.9,7.5,7.3,8.2,7.8,330,1040,521,1,3.6,2.2,0,12.9,3.4,12,12,12,30,2100,1510,NA,NA,NA
2155,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- PURNA""","""PURNA A/C MORNA, NANDURA VILL.""","""MAHARASHTRA""",20,25,21.9,2.7,6.4,5.2,6.5,8.4,7.8,537,1890,995,3.6,12,6.6,0.17,12.85,3.25,26,240,116,90,2800,1908,NA,NA,NA
2652,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- AMRAVATI""","""AMRAVATI DOWNSTREAM DONDAICHA, DHULE""","""MAHARASHTRA""",27,37,29.3,4.8,7.1,6.2,7.1,8.1,7.5,176,937,520,2.2,10,5,0.27,5.54,3.03,14,22,17,33,4300,2775,NA,NA,NA
2658,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- BORI""","""BORI DOWNSTREAM OF AMALNER, JALGAON""","""MAHARASHTRA""",26.5,36.5,31.4,5.4,7.2,6.4,7.2,8.4,7.6,174,890,507,2.2,8,4,0.25,3.82,2.47,17,22,20,40,2300,2150,NA,NA,NA
2659,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- BURAI""","""BURAI BEFORE CONFLUECE TO TAPI, MUKUDAS, DHULE""","""MAHARASHTRA""",24.5,39,28.4,4.7,7.2,6.2,7.1,8.1,7.6,163,921,510,2.6,8,4.8,0.33,5.43,3.51,17,40,26,30,24000,13150,NA,NA,NA
2666,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- GOMAI""","""GOMAI DOWNSTREAM OF SHAHADA, DHULE""","""MAHARASHTRA""",25.5,38,29.4,4.2,7.4,6.1,7.2,7.9,7.5,175,890,540,2,8,5.1,0.58,4.6,2.84,9,50,22,34,15000,5850,NA,NA,NA
2667,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- HIWARA""","""HIWARA DOWNSTREAM OF PACHORA,JALGAON""","""MAHARASHTRA""",27.4,35.4,31.1,5.4,7.4,6.5,7.1,8.5,7.6,175,988,561,2,8,3.7,0.29,3.7,2.28,12,110,35,22,90,50,NA,NA,NA
2674,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- MOR""","""MOR NEAR PADALSHE, JALGAON""","""MAHARASHTRA""",27.5,37,31.3,5,7.2,6.5,7.2,8.5,7.7,174,1016,579,2,7,3.8,0.33,4.2,2.54,17,70,29,30,60,43,NA,NA,NA
2675,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- MORNA""","""MORNA AT DOWNSTREAM OF RAILWAY BRIDGEAT AKOLA.""","""MAHARASHTRA""",22,22,22,4.3,6.1,5.2,7.1,8.6,7.9,541,1512,840,4,6.6,5.7,0,5.28,2.04,30,300,178,140,7500,5175,NA,NA,NA
2684,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- PANZARA""","""PANZARA NEAR PANZARAKAN SSKLTD, PANZARA,DHULE""","""MAHARASHTRA""",26,41,31.6,5.2,7.3,6.3,7.2,8.8,7.7,183,911,568,2,10,4.9,0.29,4.39,2.15,17,60,28,40,50,39,NA,NA,NA
2695,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- PEDHI""","""PEDHI NEAR ROAD BRIDGE ATDADHI-PEDHI VILLAGE, BHATKULI, AMRAVATI""","""MAHARASHTRA""",15,24,20.6,1.8,6.3,4.8,7.1,8.9,8.1,596,1880,1182,4,46,11,0.18,3.98,2.41,50,300,164,130,1600,647,NA,NA,NA
2710,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- TITUR""","""TITUR DOWNSTREAM OF CHALISGAON,JALGAON""","""MAHARASHTRA""",27.5,36.5,31.4,5.2,7.3,6.5,7.1,8.5,7.8,174,828,482,2.4,10,4.3,0.25,3.81,1.96,11,27,19,30,500,346,NA,NA,NA
2718,"""WATER QUALITY OF TRIBUTARY STREAMS OF TAPI- WAGHUR""","""WAGHUR AT SAKEGAON B/C TAPIRIVER, JALGAON""","""MAHARASHTRA""",27.5,40,32,3.6,6.9,5.8,7.1,8.7,7.8,169,931,445,2.4,10,4.8,0.31,3.92,2.12,17,26,19,40,60,51,NA,NA,NA
1851,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT SIHAWA""","""CHHATTISGARH""",25,33,28.5,7.3,9.3,8.2,7.7,7.8,7.7,143,590,296,NA,NA,NA,0.2,2.4,0.8,220,220,220,11,150,68,NA,NA,NA
1264,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT RUDRI UPSTREAM AT DHAMTORI RESERVOIR""","""CHHATTISGARH""",25,33,28.8,7.3,8.5,7.8,7.4,7.8,7.6,140,614,347,NA,NA,NA,1,2.3,1.4,NA,NA,NA,33,70,53,NA,NA,NA
1099,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT UPSTREAM OF RAJIM""","""CHHATTISGARH""",22,33,28.7,6.8,8.4,7.7,7.3,7.9,7.7,261,716,372,NA,NA,NA,1,2.5,1.4,NA,NA,NA,24,150,69,NA,NA,NA
1852,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT ARRANG, RAIPUR""","""CHHATTISGARH""",26,34,30.3,6.7,8.5,7.6,7.4,7.8,7.7,242,672,392,NA,NA,NA,1.3,2.3,1.6,350,350,350,33,350,96,NA,NA,NA
1100,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT KHARAD""","""CHHATTISGARH""",24,33,29,6.4,7.5,6.9,7.5,8.5,7.7,186,366,233,1.3,1.4,1.4,1.39,2.7,2.07,NA,NA,NA,12,190,69,NA,NA,NA
1282,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT SHEORINARAYANVILLAGE""","""CHHATTISGARH""",25,33,29,7.1,7.3,7.2,7.5,7.5,7.5,265,375,320,1.4,1.4,1.4,2.33,2.69,2.51,NA,NA,NA,17,500,348,NA,NA,NA
1467,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI A/C WITH RIVER MAND""","""CHHATTISGARH""",24,33,28.4,6.7,8,7.1,7.5,8.5,8,90,284,213,1.1,1.3,1.2,1.3,1.68,1.48,NA,NA,NA,10,170,89,NA,NA,NA
1101,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT INTERSTATE BOUNDRY""","""CHHATTISGARH""",24,32,27.2,7.1,7.4,7.3,7.4,7.7,7.5,248,301,272,0.9,1.6,1.2,1.16,1.93,1.26,NA,NA,NA,43,1600,528,NA,NA,NA
1281,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT HIRAKUD RESERVOIR""","""ORISSA""",24,32,27.2,5.8,9.4,7.6,7.4,8.3,7.9,120,261,189,0.9,2,1.4,0.03,5.71,0.92,330,1500,1015,700,60,46,NA,NA,NA
1270,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT SAMBALPUR UPSTREAM""","""ORISSA""",24,34,27,5.9,9.4,7.5,7.2,8.3,7.8,130,305,199,0.8,2.1,1.5,0.01,0.49,0.18,310,5400,1329,700,70,52,NA,NA,NA
1271,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT SAMBALPUR DOWNSTREAM""","""ORISSA""",22,31,26.6,5.3,9.6,6.8,7.2,8.2,7.8,121,333,238,0.6,3.3,2.5,0.02,1.3,0.51,2100,92000,26925,4300,11,11,NA,NA,NA
2405,""" WATER QUALITY OF RIVER- MAHANADI""","""SAMBHALPUR FDS AT HUMA""","""ORISSA""",20,30,25.9,6.3,9.1,7.5,7.5,8.4,8,139,272,186,1,2.9,1.9,0.01,0.68,0.22,140,13000,3184,700,300,101,NA,NA,NA
1272,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI DOWNSTREAM (AFTER CONFL. WITH R.ONG SONEPUR UPSTREAM)""","""ORISSA""",20,31,26.4,5.3,9.4,7.3,7.6,8.4,7.9,148,285,203,0.7,2.1,1.3,0.02,1.58,0.39,230,2100,819,630,500,158,NA,NA,NA
1274,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI A/C R.TEL (SONEPUR DOWNSTREAM)""","""ORISSA""",20,32,27,4.9,9.8,7.2,7.5,8.4,8,173,344,237,0.8,2.8,1.8,0.02,1.03,0.34,700,2800,1332,1100,40,37,NA,NA,NA
1275,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT TIKARPADA""","""ORISSA""",22,31,27,5.6,9.3,7.3,7.1,8.4,8,122,261,188,0.8,2.4,1.5,0.06,0.47,0.19,460,4300,1578,580,20,15,NA,NA,NA
1276,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT NARSINGHPUR""","""ORISSA""",18,33,25.9,6.3,9.3,7.8,7.7,8.4,8,153,256,202,0.6,1.8,1.3,0.14,3.58,0.66,220,1500,763,260,18,18,NA,NA,NA
1277,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT CUTTACK UPSTREAM""","""ORISSA""",20,32,28.5,5.2,10.5,8.1,7.1,8.5,8,142,304,198,0.7,2.4,1.4,0.01,2.06,0.49,140,1400,475,140,22,18,NA,NA,NA
1278,""" WATER QUALITY OF RIVER- MAHANADI""","""MAHANADI AT CUTTACK DOWNSTREAM""","""ORISSA""",21,34,29.8,6,8.4,7.4,7.5,8.4,8,141,295,197,1.8,3.6,2.4,0.06,3.3,0.59,1100,160000,25475,1100,240,127,NA,NA,NA
