Station Code,Water Quality,Locations,State Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N+ NITRITE-N (mg/l)-Minimum,NITRATE- N+ NITRITE-N (mg/l)-Maximum,NITRATE- N+ NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean,FLUORIDE(mg/l)-Minimum,FLUORIDE(mg/l)-Maximum,FLUORIDE(mg/l)-Mean
2121,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA NEAR ROAD BDG- BHOJPUR""","""MADHYA PRADESH""",NA,NA,NA,10.2,10.9,10.6,7.1,8.2,7.6,511,730,634,1.4,7.6,4.1,0,2.09,1.28,2,9,6,11,60,19,NA,NA,NA
2122,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA NEAR W/S INTAKE WELL POINT RAISEN""","""MADHYA PRADESH""",NA,NA,NA,6.5,8.4,7.5,7.8,8,7.9,640,652,646,1.2,2.8,2,0,1.85,0.93,4,4,4,9,20,10,NA,NA,NA
1614,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA NEAR INTAKE POINT- VIDISHA""","""MADHYA PRADESH""",32,39,36,7,9.9,7.8,7.3,8.2,7.9,370,594,436,1.3,7.5,3.4,0,4.5,1.35,2,4,3,2,240000,141500,NA,NA,NA
2124,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA AT CHARANTIRGHAT- VIDISHA""","""MADHYA PRADESH""",32,39,35.5,6.2,9.7,7.2,7.6,8.2,7.9,427,1270,643,1.1,5.4,3.3,0,17.6,4.37,2,26,12,220,1100000000,670000000,NA,NA,NA
2125,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA DOWNSTREAM AFTER MIXING BAIS AT VIDISHA""","""MADHYA PRADESH""",32,38,35,5.1,10.4,7.1,7.7,8.5,8.1,483,1070,734,2,6.8,3.9,0,4.9,1.89,2,17,8,50,9300000,9150000,NA,NA,NA
1735,"""WATER QUALITY OF TRIBUTARY STREAMS- GOVIND SAGAR""","""GOVIND SAGAR""","""UTTAR PRADESH""",19.4,30,25.5,6.5,8.3,7.2,7.2,9.2,8.3,118,232,183,1.1,2.3,1.7,0,0,0,1300,3400,2150,11000,250000,227500,NA,NA,NA
1356,"""WATER QUALITY OF TRIBUTARY STREAMS- BETWA""","""BETWA B/C YAMUNA AT HAMIRPUR""","""UTTAR PRADESH""",10.6,39.1,24.2,5.5,10.2,7.1,7,9.2,8.1,154,692,428,1.6,18,3.7,0,0.76,0.06,4300,110000,13467,15000,240000,174545,NA,NA,NA
2120,"""WATER QUALITY OF TRIBUTARY STREAMS- KALIASOT""","""KALIASOT NR RD BDG- MANDIDEEP""","""MADHYA PRADESH""",NA,NA,NA,8.8,8.8,8.8,7.5,7.5,7.5,691,691,691,5.4,5.4,5.4,NA,NA,NA,7,7,7,70,9,8,NA,NA,NA
1613,"""WATER QUALITY OF TRIBUTARY STREAMS- KOLAR""","""KOLAR DAM WATER SUPPLY INTAKE WELL- DISTT. SEHORE""","""MADHYA PRADESH""",35,39,37,6.6,9.5,8.1,7.3,8.1,7.7,290,550,375,1.5,2.4,1.9,0,1.28,0.46,7,7,7,9,9,8,NA,NA,NA
1365,"""WATER QUALITY OF TRIBUTARY STREAMS- CHAMBAL""","""CHAMBAL AT NAGDA UPSTREAM (WATER INTAKE POINT)""","""MADHYA PRADESH""",26,38,28.4,2.8,7.5,6.6,7,8,7.7,185,710,416,1,6,2.5,0.08,2.14,1.23,NA,NA,NA,NA,1600,1183,NA,NA,NA
